City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,beloyarskiy,63.7119,66.6722,262.69,95,99,1.9,RU,1739158133
194,sao tome,0.3365,6.7273,300.41,80,100,2.62,ST,1739158134
195,labrador city,52.9463,-66.9114,246.1,76,40,4.12,CA,1739158135
196,noumea,-22.2763,166.4572,296.64,90,100,1.93,NC,1739158136
197,slyudyanka,51.6594,103.7061,260.72,93,100,0.27,RU,1739158137
198,fisterra,42.9049,-9.2629,286.68,89,100,5.92,ES,1739158138
199,tidjikja,18.5564,-11.4271,293.09,18,91,5.18,MR,1739158139
200,kurmuk,10.55,34.2833,296.04,27,74,1.98,SD,1739158140
201,bogale,16.2833,95.4,300.97,51,15,1.42,MM,1739158141
202,tolanaro,-25.0319,46.9987,299.19,83,20,1.03,MG,1739158142
203,winnemucca,40.973,-117.7357,270.18,54,0,2.57,US,1739158143
204,chimore,-16.9833,-65.1333,295.48,99,100,1.18,BO,1739158144
205,olyokminsk,60.3736,120.4264,244.5,98,78,0.84,RU,1739158145
206,ribeira brava,32.65,-17.0667,289.66,83,96,2.96,PT,1739158146
207,saint-pierre,-21.3393,55.4781,298.97,78,0,2.57,RE,1739158147
208,castillos,-34.1667,-53.8333,292.73,82,4,2.78,UY,1739158148
209,sully-sur-loire,47.7637,2.3724,277.51,90,100,3.21,FR,1739158151
210,la baneza,42.3003,-5.8977,279.88,95,100,0.58,ES,1739158153
211,brookings,44.3114,-96.7984,259.85,82,11,3.46,US,1739158154
212,saldanha,-33.0117,17.9442,289.83,79,0,6.06,ZA,1739158155
213,port alfred,-33.5906,26.891,290.47,99,100,4.88,ZA,1739158156
214,iskateley,67.6803,53.1512,267.99,90,100,8.51,RU,1739158157
215,ndibene dahra,15.3338,-15.4766,295.94,17,67,5.08,SN,1739158158
216,eqbaliyeh,35.3022,51.5358,272.49,63,4,1.86,IR,1739158159
217,cidreira,-30.1811,-50.2056,297.71,86,0,4.73,BR,1739158160
218,atyashevo,54.5644,46.0691,259.93,97,44,0.42,RU,1739158161
219,bonny,4.4522,7.1681,300.71,81,74,3.74,NG,1739158162
220,peskovka,59.0448,52.3606,268.71,92,100,3.55,RU,1739158163
221,champerico,14.3,-91.9167,300.51,73,11,2.1,GT,1739158164
222,orcopampa,-15.2661,-72.3417,278.48,99,100,1.21,PE,1739158165
223,saipan,15.1355,145.701,303.54,75,100,7.72,MP,1739158166
224,ta`u,-14.2336,-169.5144,302.06,75,27,6.16,AS,1739158167
225,jamestown,42.097,-79.2353,267.95,93,100,3.09,US,1739158168
226,santiago de cao,-7.9589,-79.2392,296.22,83,75,2.06,PE,1739158169
227,sao miguel do tapuio,-5.5036,-41.3233,296.39,75,98,0.62,BR,1739158170
228,rudnichnyy,59.617,52.4703,267.21,96,100,3.34,RU,1739158171
229,playa del ingles,27.7567,-15.5787,288.37,62,0,1.95,ES,1739158151
230,gulf breeze,30.3571,-87.1639,293.89,98,100,3.6,US,1739158174
231,touros,-5.1989,-35.4608,299.96,68,100,5.96,BR,1739158175
232,marsa alam,25.0757,34.8918,289.32,59,86,5.46,EG,1739158176
233,chuhar jamali,24.3895,67.9923,292.52,64,90,3.04,PK,1739158177
234,san agustin de valle fertil,-30.6335,-67.4682,301.27,32,0,3.47,AR,1739158178
235,susuman,62.7833,148.1667,238.33,95,78,0.65,RU,1739158179
236,bhinmal,25.0,72.25,292.98,24,99,1.45,IN,1739158180
237,general mosconi,-23.1851,-62.303,301.52,51,3,2.8,AR,1739158181
238,warman,52.3168,-106.5679,248.1,69,40,4.63,CA,1739158182
239,basco,20.4487,121.9702,294.23,76,100,11.05,PH,1739158183
240,kirakira,-10.4544,161.9205,302.96,67,79,3.66,SB,1739158185
241,lompoc,34.6391,-120.4579,283.55,77,0,7.2,US,1739158075
242,fortuna,40.5982,-124.1573,278.66,94,75,3.6,US,1739158188
243,valley city,46.9233,-98.0032,255.44,85,6,5.66,US,1739158189
244,katabu,-4.9333,122.5167,303.79,63,98,4.22,ID,1739158191
245,santa cruz,-17.8,-63.1667,297.85,88,75,1.54,BO,1739158192
246,amahai,-3.3333,128.9167,302.38,70,100,3.82,ID,1739158193
247,amga,60.8953,131.9608,244.08,93,64,0.34,RU,1739158194
248,bakchar,57.0186,82.0711,266.44,97,99,2.85,RU,1739158195
249,cartagena del chaira,1.3349,-74.8429,295.34,95,32,0.38,CO,1739158196
250,antalaha,-14.9003,50.2788,297.57,90,94,1.87,MG,1739158197
251,molteno,-31.3968,26.3625,286.37,84,61,3.11,ZA,1739158198
252,puerto aysen,-45.4,-72.7,282.55,97,98,2.6,CL,1739158199
253,ust-nera,64.5667,143.2,238.3,95,63,1.47,RU,1739158200
254,castroville,36.7658,-121.758,283.5,81,0,3.6,US,1739157819
255,pisco,-13.7,-76.2167,296.18,83,100,3.09,PE,1739158202
256,kencong,-8.2833,113.3667,301.79,76,100,6.7,ID,1739158204
257,tallahassee,30.4383,-84.2807,291.64,97,100,2.57,US,1739158072
258,zalanga,10.6143,10.1765,291.65,18,15,1.97,NG,1739158206
259,guarapari,-20.6667,-40.4975,296.25,90,98,1.23,BR,1739158208
260,sergeyevka,53.88,67.4158,264.4,94,52,5.02,KZ,1739158209
261,puerto deseado,-47.7503,-65.8938,287.44,83,100,8.01,AR,1739158210
262,coquimbo,-29.9533,-71.3436,293.0,77,0,1.54,CL,1739158211
263,pacific grove,36.6177,-121.9166,283.2,82,0,2.57,US,1739158212
264,el tigre,8.8875,-64.2454,296.57,75,79,6.37,VE,1739158213
265,machico,32.7,-16.7667,289.66,89,75,3.6,PT,1739158214
266,luocheng,29.3848,104.0286,283.88,58,11,1.62,CN,1739158215
267,vidyayevo,69.3191,32.8049,271.34,76,37,14.63,RU,1739158216
268,huanggang,23.677,116.9996,290.09,32,0,1.98,CN,1739158217
269,horta,38.5333,-28.6333,286.49,84,80,4.02,PT,1739158218
270,le port,-20.9373,55.2919,299.13,82,27,0.84,RE,1739158219
271,huadian,42.9633,126.7478,261.77,71,97,1.92,CN,1739158220
272,broome,42.2506,-75.833,269.5,79,20,5.66,US,1739158221
